Time_Start,Time_End,IP Address,Edu_Background ?,Work_Background,Statistics,Programming,Data Science,Familiar_ML,ML_useful,Often_ML,User_Interface,Customizability,Functionality,Portability,Automation,Aware_ML
5/27/2016 22:13,5/27/2016 22:16,174.61.233.187,Fine Arts,Business/Sales,2,2,2,Yes,Yes,Very Often,3,5,4,2,1,Maybe
5/27/2016 19:40,5/27/2016 19:43,73.97.181.50,Engineering,IT/Computer Science,3,3,2,No,Yes,Often,2,4,5,1,3,No
5/27/2016 19:26,5/27/2016 19:33,69.91.178.217,Mathematics,"IT/Computer Science,Consulting",3,4,2,Maybe,Maybe,No Idea,4,3,2,5,1,No
5/27/2016 19:29,5/27/2016 19:31,73.254.216.163,Engineering,"Engineering,Arts/Design",2,3,1,Yes,Yes,Very Often,5,4,3,2,1,No
5/27/2016 18:45,5/27/2016 18:47,73.254.216.163,"Liberal Arts,",Arts/Design,1,1,1,No,No,Rarely,5,4,1,3,2,No
5/27/2016 8:18,5/27/2016 18:47,75.172.100.68,"Engineering,Science",IT/Computer Science,4,4,4,Yes,Yes,Very Often,1,3,5,2,4,Yes
5/27/2016 18:24,5/27/2016 18:35,172.56.40.249,Engineering,"IT/Computer Science,",3,3,2,Yes,Yes,Often,1,2,5,3,4,No
5/27/2016 18:31,5/27/2016 18:34,208.54.83.147,"Engineering,Science",IT/Computer Science,2,4,2,Yes,Yes,Often,1,3,5,2,4,No
5/27/2016 18:28,5/27/2016 18:30,24.19.251.124,Engineering,IT/Computer Science,3,3,2,Maybe,Maybe,Often,4,3,5,1,2,No
5/27/2016 18:21,5/27/2016 18:25,172.58.40.244,"Engineering,Science","Engineering,IT/Computer Science,Business/Sales,",3,4,3,Yes,Yes,Often,4,3,1,5,2,Maybe
5/27/2016 18:12,5/27/2016 18:13,173.250.176.109,Engineering,"IT/Computer Science,Arts/Design",3,3,2,Yes,No,Rarely,1,2,3,4,5,No
5/27/2016 18:04,5/27/2016 18:09,172.56.40.237,"Engineering,Science",IT/Computer Science,3,4,2,Maybe,Yes,Often,2,4,5,3,1,Maybe
5/27/2016 17:59,5/27/2016 18:03,172.56.42.97,Engineering,IT/Computer Science,1,2,1,Yes,Yes,Often,2,3,4,1,5,No
5/27/2016 17:59,5/27/2016 18:03,208.54.5.132,Engineering,IT/Computer Science,3,4,2,Yes,Yes,Often,3,5,4,2,1,No
5/27/2016 17:58,5/27/2016 18:00,172.56.16.165,Engineering,Engineering,4,2,3,No,Don't know,Rarely,3,1,5,2,4,No
5/27/2016 16:19,5/27/2016 16:23,205.175.118.31,Liberal Arts,Nonprofit,2,1,2,Maybe,Maybe,No Idea,3,4,5,1,2,No
5/27/2016 14:45,5/27/2016 14:48,108.179.178.12,Engineering,IT/Computer Science,2,3,2,Maybe,Yes,Very Often,1,2,5,3,4,Maybe
5/27/2016 11:31,5/27/2016 11:34,71.212.19.50,Engineering,Business/Sales,4,4,4,Yes,Yes,Very Often,2,5,4,3,1,Yes
5/27/2016 11:23,5/27/2016 11:25,69.91.211.227,Science,Research/Science,3,3,3,Yes,Yes,Very Often,4,3,5,1,2,Yes
5/27/2016 11:15,5/27/2016 11:18,69.91.238.235,Engineering,IT/Computer Science,4,4,4,Yes,Yes,Often,2,3,4,1,5,No
5/27/2016 11:07,5/27/2016 11:09,50.132.4.192,"Engineering,Mathematics,Science","Engineering,IT/Computer Science,Business/Sales,Consulting",2,2,2,Yes,No,Rarely,4,5,2,3,1,No
5/27/2016 10:43,5/27/2016 10:45,128.95.223.246,Engineering,Did not work,2,3,2,Yes,Maybe,Often,2,4,5,3,1,No
5/27/2016 10:35,5/27/2016 10:40,128.95.140.137,Engineering,"Engineering,Consulting",4,4,2,Yes,Yes,Often,2,4,5,1,3,Yes
5/27/2016 10:30,5/27/2016 10:33,166.176.187.153,Science,Research/Science,4,3,4,Yes,Yes,Rarely,1,3,5,2,4,Yes
5/27/2016 10:27,5/27/2016 10:30,74.104.161.152,Liberal Arts,"Managerial,Consulting,military",2,2,3,Yes,Yes,Very Often,4,3,5,2,1,Yes
5/27/2016 9:47,5/27/2016 9:48,74.85.70.16,Liberal Arts,LIS,3,2,2,Yes,Yes,Very Often,5,1,4,2,3,No
5/27/2016 8:33,5/27/2016 8:43,128.208.94.95,Engineering,IT/Computer Science,3,3,3,Yes,Maybe,No Idea,3,1,4,2,5,Maybe
5/27/2016 8:31,5/27/2016 8:33,130.76.24.9,Business,Business/Sales,3,2,4,Yes,Yes,Very Often,1,3,4,2,5,No
5/27/2016 7:46,5/27/2016 7:50,208.186.42.222,Business,"IT/Computer Science,Business/Sales",3,2,4,Yes,Maybe,Often,2,3,5,1,4,Yes
5/27/2016 7:02,5/27/2016 7:05,63.234.149.165,Liberal Arts,Organic agriculture,3,1,1,Maybe,Yes,Often,4,3,5,1,2,No
5/27/2016 5:43,5/27/2016 5:45,174.21.184.235,Liberal Arts,Hospitality/Service Industry,1,3,2,No,Maybe,No Idea,5,3,4,1,2,Maybe
5/27/2016 2:06,5/27/2016 2:09,172.58.40.147,Engineering,IT/Computer Science,2,4,2,Yes,Yes,Often,3,2,5,1,4,No
