Aware_ML,Often_ML,ML_useful,Familiar_ML,Stats,Prgming,DS,User_Domain,UI,Custom,Function,Portable,Auto
Maybe,Very Often,Yes,Yes,2,2,2,Non-Tech,3,5,4,2,1
No,Often,Yes,No,3,3,2,IT,2,4,5,1,3
No,No Idea,Maybe,Maybe,3,4,2,IT,4,3,2,5,1
No,Very Often,Yes,Yes,2,3,1,IT,5,4,3,2,1
No,Rarely,No,No,1,1,1,Non-Tech,5,4,1,3,2
Yes,Very Often,Yes,Yes,4,4,4,DS,1,3,5,2,4
No,Often,Yes,Yes,3,3,2,IT,1,2,5,3,4
No,Often,Yes,Yes,2,4,2,IT,1,3,5,2,4
No,Often,Maybe,Maybe,3,3,2,IT,4,3,5,1,2
Maybe,Often,Yes,Yes,3,4,3,DS,4,3,1,5,2
No,Rarely,No,Yes,3,3,2,IT,1,2,3,4,5
Maybe,Often,Yes,Maybe,3,4,2,IT,2,4,5,3,1
No,Often,Yes,Yes,1,2,1,Non-Tech,2,3,4,1,5
No,Often,Yes,Yes,3,4,2,IT,3,5,4,2,1
No,Rarely,Don't know,No,4,2,3,DS,3,1,5,2,4
No,No Idea,Maybe,Maybe,2,1,2,Non-Tech,3,4,5,1,2
Maybe,Very Often,Yes,Maybe,2,3,2,IT,1,2,5,3,4
Yes,Very Often,Yes,Yes,4,4,4,DS,2,5,4,3,1
Yes,Very Often,Yes,Yes,3,3,3,DS,4,3,5,1,2
No,Often,Yes,Yes,4,4,4,DS,2,3,4,1,5
No,Rarely,No,Yes,2,2,2,Non-Tech,4,5,2,3,1
No,Often,Maybe,Yes,2,3,2,IT,2,4,5,3,1
Yes,Often,Yes,Yes,4,4,2,IT,2,4,5,1,3
Yes,Rarely,Yes,Yes,4,3,4,DS,1,3,5,2,4
Yes,Very Often,Yes,Yes,2,2,3,DS,4,3,5,2,1
No,Very Often,Yes,Yes,3,2,2,IT,5,1,4,2,3
Maybe,No Idea,Maybe,Yes,3,3,3,DS,3,1,4,2,5
No,Very Often,Yes,Yes,3,2,4,DS,1,3,4,2,5
Yes,Often,Maybe,Yes,3,2,4,DS,2,3,5,1,4
No,Often,Yes,Maybe,3,1,1,Non-Tech,4,3,5,1,2
Maybe,No Idea,Maybe,No,1,3,2,IT,5,3,4,1,2
No,Often,Yes,Yes,2,4,2,IT,3,2,5,1,4
